query,source,title,year,authors,venue,doi,url,abstract,score,tags
sensor corruption robotic perception robustness calibration drift,crossref,Blind drift calibration of sensor networks using signal space projection and Kalman filter,2015,Yuzhi Wang; Anqi Yang; Zhan Li; Pengjun Wang; Huazhong Yang,"2015 IEEE Tenth International Conference on Intelligent Sensors, Sensor Networks and Information Processing (ISSNIP)",10.1109/issnip.2015.7106904,https://doi.org/10.1109/issnip.2015.7106904,,7,calibration;drift;sensor
sensor corruption robotic perception robustness calibration drift,crossref,Drift detection and calibration of sensor networks,2015,Zhan Li; Yuzhi Wang; Anqi Yang; Huazhong Yang,2015 International Conference on Wireless Communications &amp; Signal Processing (WCSP),10.1109/wcsp.2015.7341138,https://doi.org/10.1109/wcsp.2015.7341138,,7,calibration;drift;sensor
3D perception sensor failure robustness robot,crossref,3D sensor-based Moving Human Tracking Robot with Obstacle Avoidance,2016,Abdel-Mehsen Ahmad; Hiba Al Youssef,2016 IEEE International Multidisciplinary Conference on Engineering Technology (IMCET),10.1109/imcet.2016.7777418,https://doi.org/10.1109/imcet.2016.7777418,,7,robot;sensor
sensor fusion robustness embodied intelligence missing modality,crossref,Distributed fusion estimator for multi‐sensor asynchronous sampling systems with missing measurements,2016,Honglei Lin; Shuli Sun,IET Signal Processing,10.1049/iet-spr.2016.0017,https://doi.org/10.1049/iet-spr.2016.0017,,7,fusion;missing;sensor
3D perception sensor failure robustness robot,crossref,Real-time 3D recognition of manipulated object by robot hand using 3D sensor,2016,Ryo Minowa; Akio Namiki,2015 IEEE International Conference on Robotics and Biomimetics (ROBIO),10.1109/robio.2015.7419033,https://doi.org/10.1109/robio.2015.7419033,,7,robot;sensor
sensor corruption robotic perception robustness calibration drift,arxiv,A Deep Learning Approach for Blind Drift Calibration of Sensor Networks,2017,Yuzhi Wang; Anqi Yang; Xiaoming Chen; Pengjun Wang; Yu Wang; Huazhong Yang,arXiv,,,"Temporal drift of sensory data is a severe problem impacting the data quality of wireless sensor networks (WSNs). With the proliferation of large-scale and long-term WSNs, it is becoming more important to calibrate sensors when the ground truth is unavailable. This problem is called ""blind calibration"". In this paper, we propose a novel deep learning method named projection-recovery network (PRNet) to blindly calibrate sensor measurements online. The PRNet first projects the drifted data to a feature space, and uses a powerful deep convolutional neural network to recover the estimated drift-free measurements. We deploy a 24-sensor testbed and provide comprehensive empirical evidence showing that the proposed method significantly improves the sensing accuracy and drifted sensor detection. Compared with previous methods, PRNet can calibrate 2x of drifted sensors at the recovery rate of 80% under the same level of accuracy requirement. We also provide helpful insights for designing deep neural networks for sensor calibration. We hope our proposed simple and effective approach will serve as a solid baseline in blind drift calibration of sensor networks.",7,calibration;drift;sensor
sensor corruption robotic perception robustness calibration drift,crossref,CMOS hall sensor with reduced sensitivity drift by synchronous excitation calibration for wearable biomagnetic sensor in system-on-chip,2017,Tiger Chang; Kai-Cheung Juang,2016 IEEE SENSORS,10.1109/icsens.2016.7808597,https://doi.org/10.1109/icsens.2016.7808597,,7,calibration;drift;sensor
robot sensor failure robustness perception fusion modality dropout,crossref,Sparse representation based multi-sensor image fusion for multi-focus and multi-modality images: A review,2017,Qiang Zhang; Yi Liu; Rick S. Blum; Jungong Han; Dacheng Tao,Information Fusion,10.1016/j.inffus.2017.05.006,https://doi.org/10.1016/j.inffus.2017.05.006,,7,fusion;modality;sensor
fault tolerant sensor fusion robotics,crossref,Fault tolerant control method for displacement sensor fault of wheel-legged robot based on deep learning,2018,Zhou Gao; Liling Ma; Junzheng Wang,2018 WRC Symposium on Advanced Robotics and Automation (WRC SARA),10.1109/wrc-sara.2018.8584226,https://doi.org/10.1109/wrc-sara.2018.8584226,,7,robot;sensor
robot sensor failure robustness perception fusion modality dropout,crossref,Multi-Sensor Fusion and Active Perception for Autonomous Deep Space Navigation,2018,David Nakath; Joachim Clemens; Kerstin Schill,2018 21st International Conference on Information Fusion (FUSION),10.23919/icif.2018.8455788,https://doi.org/10.23919/icif.2018.8455788,,7,fusion;perception;sensor
robot perception domain corruption sensor degradation,crossref,Advanced Sensor and Target Development to Support Robot Accuracy Degradation Assessment,2019,Guixiu Qiao,2019 IEEE 15th International Conference on Automation Science and Engineering (CASE),10.1109/coase.2019.8843200,https://doi.org/10.1109/coase.2019.8843200,,7,robot;sensor
sensor corruption robotic perception robustness calibration drift,crossref,Blind Drift Calibration of Sensor Networks Using Multi-Output Gaussian Process,2019,Anqi Yang; Pengjun Wang; Huazhong Yang,2018 IEEE SENSORS,10.1109/icsens.2018.8589548,https://doi.org/10.1109/icsens.2018.8589548,,7,calibration;drift;sensor
robot perception domain corruption sensor degradation,crossref,Detecting Domain-specific Events based on Robot Sensor Data,2019,Bernhard Humm; Guglielmo van der Meer,"Proceedings of the 16th International Conference on Informatics in Control, Automation and Robotics",10.5220/0007952503980405,https://doi.org/10.5220/0007952503980405,,7,robot;sensor
sensor corruption robotic perception robustness calibration drift,crossref,Drift Calibration Using Constrained Extreme Learning Machine and Kalman Filter in Clustered Wireless Sensor Networks,2019,Jiawen Wu; Guanghui Li,IEEE Access,10.1109/access.2019.2949878,https://doi.org/10.1109/access.2019.2949878,,7,calibration;drift;sensor
robot sensor failure robustness perception fusion modality dropout,crossref,Improving the Accuracy and Robustness of Ultra-Wideband Localization Through Sensor Fusion and Outlier Detection,2019,Nathan Dwek; Merwan Birem; Kurt Geebelen; Erik Hostens; Anurodh Mishra; Jan Steckel; Risang Yudanto,IEEE Robotics and Automation Letters,10.1109/lra.2019.2943821,https://doi.org/10.1109/lra.2019.2943821,,7,fusion;robust;sensor
sensor corruption robotic perception robustness calibration drift,crossref,Improving the robustness and drift resilience of CMOS BBPLL-based time-based sensor interfaces,2019,Georges Gielen; Jorge Marin; Elisa Sacco,"2018 25th IEEE International Conference on Electronics, Circuits and Systems (ICECS)",10.1109/icecs.2018.8618013,https://doi.org/10.1109/icecs.2018.8618013,,7,drift;robust;sensor
fault tolerant sensor fusion robotics,crossref,Multi-sensor Fusion Module in a Fault Tolerant Perception System for Autonomous Vehicles,2019,Miguel Realpe,Journal of Automation and Control Engineering,10.18178/joace.4.6.460-466,https://doi.org/10.18178/joace.4.6.460-466,,7,fusion;perception;sensor
robot sensor failure robustness perception fusion modality dropout,arxiv,Robust Multi-Modal Sensor Fusion: An Adversarial Approach,2019,Siddharth Roheda; Hamid Krim; Benjamin S. Riggan,arXiv,,,"In recent years, multi-modal fusion has attracted a lot of research interest, both in academia, and in industry. Multimodal fusion entails the combination of information from a set of different types of sensors. Exploiting complementary information from different sensors, we show that target detection and classification problems can greatly benefit from this fusion approach and result in a performance increase. To achieve this gain, the information fusion from various sensors is shown to require some principled strategy to ensure that additional information is constructively used, and has a positive impact on performance. We subsequently demonstrate the viability of the proposed fusion approach by weakening the strong dependence on the functionality of all sensors, hence introducing additional flexibility in our solution and lifting the severe limitation in unconstrained surveillance settings with potential environmental impact. Our proposed data driven approach to multimodal fusion, exploits selected optimal features from an estimated latent space of data across all modalities. This hidden space is learned via a generative network conditioned on individual sensor modalities. The hidden space, as an intrinsic structure, is then exploited in detecting damaged sensors, and in subsequently safeguarding the performance of the fused sensor system. Experimental results show that such an approach can achieve automatic system robustness against noisy/damaged sensors.",7,fusion;robust;sensor
sensor corruption robotic perception robustness calibration drift,crossref,Sensor Drift Calibration via Spatial Correlation Model in Smart Building,2019,Tinghuan Chen; Bingqing Lin; Hao Geng; Bei Yu,Proceedings of the 56th Annual Design Automation Conference 2019,10.1145/3316781.3317909,https://doi.org/10.1145/3316781.3317909,,7,calibration;drift;sensor
sensor corruption robotic perception robustness calibration drift,arxiv,Sensor-Movement-Robust Angle Estimation for 3-DoF Lower Limb Joints Without Calibration,2019,Chunzhi Yi; Feng Jiang; Zhiyuan Chen; Baichun Wei; Hao Guo; Xunfeng Yin; Fangzhuo Li; Chifu Yang,arXiv,,,"Inertial measurement unit (IMU)-based 3-DoF angle estimation methods for lower limb joints have been studied for decades, however the calibration motions and/or careful sensor placement are still necessary due to challenges of real-time application. This study proposes a novel sensormovement-robust 3-DoF method for lower-limb joint angle estimation without calibration. A realtime optimization process, which is based on a feedback iteration progress to identify three joint axes of a 3-DoF joint, has been presented with a reference frame calibration algorithm, and a safe-guarded strategy is proposed to detect and compensate for the errors caused by sensor movements. The experimental results obtained from a 3-DoF gimbal and ten healthy subjects demonstrate a promising performance on 3-DoF angle estimation. Specially, the experiments on ten subjects are performed with three gait modes and a 2-min level walking. The root mean square error is below 2 deg for level walking and 5 deg for other two gait modes. The result of 2-min level walking shows our algorithms stability under long run. The robustness against sensor movement are demonstrated through data from multiple sets of IMUs. In addition, results from the 3-DoF gimbal indicate that the accuracy of 3-DoF angle estimation could be improved by 84.9% with our reference frame calibration algorithm. In conclusion, our study proposes and validates a sensor-movement-robust 3-DoF angle estimation for lowerlimb joints based on IMU. To the best of our knowledge, our approach is the first experimental implementation of IMUbased 3-DoF angle estimation for lower-limb joints without calibration.",7,calibration;robust;sensor
3D perception sensor failure robustness robot,crossref,3D Object Recognition and Relative Localization using a 3D sensor Embedded on a Mobile Robot,2020,Gopi Krishna Erabati,,10.31237/osf.io/p4thn,https://doi.org/10.31237/osf.io/p4thn,,7,robot;sensor
robot perception domain corruption sensor degradation,arxiv,Demo Abstract: Indoor Positioning System in Visually-Degraded Environments with Millimetre-Wave Radar and Inertial Sensors,2020,Zhuangzhuang Dai; Muhamad Risqi U. Saputra; Chris Xiaoxuan Lu; Niki Trigoni; Andrew Markham,arXiv,,,"Positional estimation is of great importance in the public safety sector. Emergency responders such as fire fighters, medical rescue teams, and the police will all benefit from a resilient positioning system to deliver safe and effective emergency services. Unfortunately, satellite navigation (e.g., GPS) offers limited coverage in indoor environments. It is also not possible to rely on infrastructure based solutions. To this end, wearable sensor-aided navigation techniques, such as those based on camera and Inertial Measurement Units (IMU), have recently emerged recently as an accurate, infrastructure-free solution. Together with an increase in the computational capabilities of mobile devices, motion estimation can be performed in real-time. In this demonstration, we present a real-time indoor positioning system which fuses millimetre-wave (mmWave) radar and IMU data via deep sensor fusion. We employ mmWave radar rather than an RGB camera as it provides better robustness to visual degradation (e.g., smoke, darkness, etc.) while at the same time requiring lower computational resources to enable runtime computation. We implemented the sensor system on a handheld device and a mobile computer running at 10 FPS to track a user inside an apartment. Good accuracy and resilience were exhibited even in poorly illuminated scenes.",7,fusion;robust;sensor
robot sensor failure robustness perception fusion modality dropout,crossref,Multi-modality sensor fusion for gait classification using deep learning,2020,Syed Usama Yunas; Abdullah Alharthi; Krikor B Ozanyan,2020 IEEE Sensors Applications Symposium (SAS),10.1109/sas48726.2020.9220037,https://doi.org/10.1109/sas48726.2020.9220037,,7,fusion;modality;sensor
sensor corruption robotic perception robustness calibration drift,arxiv,Pivot calibration concept for sensor attached mobile c-arms,2020,Sing Chun Lee; Matthias Seibold; Philipp Fürnstahl; Mazda Farshad; Nassir Navab,arXiv,,,"Medical augmented reality has been actively studied for decades and many methods have been proposed torevolutionize clinical procedures. One example is the camera augmented mobile C-arm (CAMC), which providesa real-time video augmentation onto medical images by rigidly mounting and calibrating a camera to the imagingdevice. Since then, several CAMC variations have been suggested by calibrating 2D/3D cameras, trackers, andmore recently a Microsoft HoloLens to the C-arm. Different calibration methods have been applied to establishthe correspondence between the rigidly attached sensor and the imaging device. A crucial step for these methodsis the acquisition of X-Ray images or 3D reconstruction volumes; therefore, requiring the emission of ionizingradiation. In this work, we analyze the mechanical motion of the device and propose an alternatative methodto calibrate sensors to the C-arm without emitting any radiation. Given a sensor is rigidly attached to thedevice, we introduce an extended pivot calibration concept to compute the fixed translation from the sensor tothe C-arm rotation center. The fixed relationship between the sensor and rotation center can be formulated as apivot calibration problem with the pivot point moving on a locus. Our method exploits the rigid C-arm motiondescribing a Torus surface to solve this calibration problem. We explain the geometry of the C-arm motion andits relation to the attached sensor, propose a calibration algorithm and show its robustness against noise, as wellas trajectory and observed pose density by computer simulations. We discuss this geometric-based formulationand its potential extensions to different C-arm applications.",7,calibration;robust;sensor
robotics sensor dropout compositional robustness,arxiv,Pose Estimation for Robot Manipulators via Keypoint Optimization and Sim-to-Real Transfer,2020,Jingpei Lu; Florian Richter; Michael Yip,arXiv,,,"Keypoint detection is an essential building block for many robotic applications like motion capture and pose estimation. Historically, keypoints are detected using uniquely engineered markers such as checkerboards or fiducials. More recently, deep learning methods have been explored as they have the ability to detect user-defined keypoints in a marker-less manner. However, different manually selected keypoints can have uneven performance when it comes to detection and localization. An example of this can be found on symmetric robotic tools where DNN detectors cannot solve the correspondence problem correctly. In this work, we propose a new and autonomous way to define the keypoint locations that overcomes these challenges. The approach involves finding the optimal set of keypoints on robotic manipulators for robust visual detection and localization. Using a robotic simulator as a medium, our algorithm utilizes synthetic data for DNN training, and the proposed algorithm is used to optimize the selection of keypoints through an iterative approach. The results show that when using the optimized keypoints, the detection performance of the DNNs improved significantly. We further use the optimized keypoints for real robotic applications by using domain randomization to bridge the reality gap between the simulator and the physical world. The physical world experiments show how the proposed method can be applied to the wide-breadth of robotic applications that require visual feedback, such as camera-to-robot calibration, robotic tool tracking, and end-effector pose estimation.",7,calibration;robot;robust;sim-to-real
robot sensor failure robustness perception fusion modality dropout,arxiv,Robot Perception enables Complex Navigation Behavior via Self-Supervised Learning,2020,Marvin Chancán; Michael Milford,arXiv,,,"Learning visuomotor control policies in robotic systems is a fundamental problem when aiming for long-term behavioral autonomy. Recent supervised-learning-based vision and motion perception systems, however, are often separately built with limited capabilities, while being restricted to few behavioral skills such as passive visual odometry (VO) or mobile robot visual localization. Here we propose an approach to unify those successful robot perception systems for active target-driven navigation tasks via reinforcement learning (RL). Our method temporally incorporates compact motion and visual perception data - directly obtained using self-supervision from a single image sequence - to enable complex goal-oriented navigation skills. We demonstrate our approach on two real-world driving dataset, KITTI and Oxford RobotCar, using the new interactive CityLearn framework. The results show that our method can accurately generalize to extreme environmental changes such as day to night cycles with up to an 80% success rate, compared to 30% for a vision-only navigation systems.",7,perception;robot;vision
sensor fusion robustness embodied intelligence missing modality,crossref,Robustness and Reliability of Model-based Sensor Data Fusion in a Lithium-Ion Battery System,2020,Dominik Schneider; Christian Endisch,2020 IEEE Conference on Control Technology and Applications (CCTA),10.1109/ccta41146.2020.9206336,https://doi.org/10.1109/ccta41146.2020.9206336,,7,fusion;robust;sensor
sensor corruption robotic perception robustness calibration drift,crossref,Smart Building Sensor Drift Calibration,2020,Tinghuan Chen; Bingqing Lin; Hao Geng; Bei Yu,Big Data Analytics for Cyber-Physical Systems,10.1007/978-3-030-43494-6_8,https://doi.org/10.1007/978-3-030-43494-6_8,,7,calibration;drift;sensor
robot sensor failure robustness perception fusion modality dropout,crossref,Twin-Robot Dialogue System with Robustness against Speech Recognition Failure in Human-Robot Dialogue with Elderly People,2020,Takamasa Iio; Yuichiro Yoshikawa; Mariko Chiba; Taichi Asami; Yoshinori Isoda; Hiroshi Ishiguro,Applied Sciences,10.3390/app10041522,https://doi.org/10.3390/app10041522,,7,failure;robot;robust
sensor corruption robotic perception robustness calibration drift,arxiv,Using context to adapt to sensor drift,2020,J. Warner; A. Devaraj; R. Miikkulainen,arXiv,,,"Lifelong development allows animals and machines to adapt to changes in the environment as well as in their own systems, such as wear and tear in sensors and actuators. An important use case of such adaptation is industrial odor-sensing. Metal-oxide-based sensors can be used to detect gaseous compounds in the air; however, the gases interact with the sensors, causing their responses to change over time in a process called sensor drift. Sensor drift is irreversible and requires frequent recalibration with additional data. This paper demonstrates that an adaptive system that represents the drift as context for the skill of odor sensing achieves the same goal automatically. After it is trained on the history of changes, a neural network predicts future contexts, allowing the context+skill sensing system to adapt to sensor drift. Evaluated on an industrial dataset of gas-sensor drift, the approach performed better than standard drift-naive and ensembling methods. In this way, the context+skill system emulates the natural ability of animal olfaction systems to adapt to a changing world, and demonstrates how it can be effective in real-world applications.",7,calibration;drift;sensor
multimodal robot perception missing sensors failure modes,crossref,A Flexible Multimodal Sole Sensor for Legged Robot Sensing Complex Ground Information during Locomotion,2021,Yingtian Xu; Ziya Wang; Wanjun Hao; Wenyu Zhao; Waner Lin; Bingchen Jin; Ning Ding,Sensors,10.3390/s21165359,https://doi.org/10.3390/s21165359,,7,robot;sensor
robotics sensor dropout compositional robustness,arxiv,Belief Space Planning for Mobile Robots with Range Sensors using iLQG,2021,Ke Sun; Vijay Kumar,arXiv,,,"In this work, we use iterative Linear Quadratic Gaussian (iLQG) to plan motions for a mobile robot with range sensors in belief space. We address two limitations that prevent applications of iLQG to the considered robotic system. First, iLQG assumes a differentiable measurement model, which is not true for range sensors. We show that iLQG only requires the differentiability of the belief dynamics. We propose to use a derivative-free filter to approximate the belief dynamics, which does not require explicit differentiability of the measurement model. Second, informative measurements from a range sensor are sparse. Uninformative measurements produce trivial gradient information, which prevent iLQG optimization from converging to a local minimum. We densify the informative measurements by introducing additional parameters in the measurement model. The parameters are iteratively updated in the optimization to ensure convergence to the true measurement model of a range sensor. We show the effectiveness of the proposed modifications through an ablation study. We also apply the proposed method in simulations of large scale real world environments, which show superior performance comparing to the state-of-the-art methods that either assume the separation principle or maximum likelihood measurements.",7,robot;sensor
3D perception sensor failure robustness robot,crossref,Implementation of 3D measuring sensor for callibrating robot coordinate systems,2021,Boris Kostov; Vladimir Hristov,2021 5th International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT),10.1109/ismsit52890.2021.9604638,https://doi.org/10.1109/ismsit52890.2021.9604638,,7,robot;sensor
robot sensor failure robustness perception fusion modality dropout,crossref,Robustness of Multi-Robot Systems Controlling the Size of the Connected Component After Robot Failure,2021,Toru Murayama; Lorenzo Sabattini,IFAC-PapersOnLine,10.1016/j.ifacol.2020.12.1052,https://doi.org/10.1016/j.ifacol.2020.12.1052,,7,failure;robot;robust
robotics sensor dropout compositional robustness,arxiv,"Semantics for Robotic Mapping, Perception and Interaction: A Survey",2021,Sourav Garg; Niko Sünderhauf; Feras Dayoub; Douglas Morrison; Akansel Cosgun; Gustavo Carneiro; Qi Wu; Tat-Jun Chin,arXiv,,,"For robots to navigate and interact more richly with the world around them, they will likely require a deeper understanding of the world in which they operate. In robotics and related research fields, the study of understanding is often referred to as semantics, which dictates what does the world ""mean"" to a robot, and is strongly tied to the question of how to represent that meaning. With humans and robots increasingly operating in the same world, the prospects of human-robot interaction also bring semantics and ontology of natural language into the picture. Driven by need, as well as by enablers like increasing availability of training data and computational resources, semantics is a rapidly growing research area in robotics. The field has received significant attention in the research literature to date, but most reviews and surveys have focused on particular aspects of the topic: the technical research issues regarding its use in specific robotic topics like mapping or segmentation, or its relevance to one particular application domain like autonomous driving. A new treatment is therefore required, and is also timely because so much relevant research has occurred since many of the key surveys were published. This survey therefore provides an overarching snapshot of where semantics in robotics stands today. We establish a taxonomy for semantics research in or relevant to robotics, split into four broad categories of activity, in which semantics are extracted, used, or both. Within these broad categories we survey dozens of major topics including fundamentals from the computer vision field and key robotics research areas utilizing semantics, including mapping, navigation and interaction with the world. The survey also covers key practical considerations, including enablers like increased data availability and improved computational hardware, and major application areas where...",7,perception;robot;vision
robot sensor failure robustness perception fusion modality dropout,crossref,Sensor Adversarial Traits: Analyzing Robustness of 3D Object Detection Sensor Fusion Models,2021,Won Park; Nan Liu; Qi Alfred Chen; Z. Morley Mao,2021 IEEE International Conference on Image Processing (ICIP),10.1109/icip42928.2021.9506183,https://doi.org/10.1109/icip42928.2021.9506183,,7,fusion;robust;sensor
robotics sensor dropout compositional robustness,arxiv,Skyeye Team at MBZIRC 2020: A team of aerial and ground robots for GPS-denied autonomous fire extinguishing in an urban building scenario,2021,Simon Martinez-Rozas; Rafael Rey; David Alejo; Domingo Acedo; Jose Antonio Cobano; Alejandro Rodriguez-Ramos; Pascual Campoy; Luis Merino,arXiv,,,"The paper presents a framework for fire extinguishing in an urban scenario by a team of aerial and ground robots. The system was developed to address Challenge 3 of the 2020Mohamed Bin Zayed International Robotics Challenge (MBZIRC). The challenge required to autonomously detect, locate and extinguish fires on different floors of a building, as well as in its surroundings. The multi-robot system developed consists of a heterogeneous robot team of up to three Unmanned Aerial Vehicles (UAV) and one Unmanned Ground Vehicle (UGV). We describe the main hardware and software components for UAV and UGVplatforms and also present the main algorithmic components of the system: a 3D LIDAR-based mapping and localization module able to work in GPS-denied scenarios; a global planner and a fast local re-planning system for robot navigation; infrared-based perception and robot actuation control for fire extinguishing; and a mission executive and coordination module based on Behavior Trees. The paper finally describes the results obtained during the competition, where the system worked fully autonomously and scored in all the trials performed. The presented system ended in 7th position out of 20 teams in the Challenge3 competition and in 5th position (out of 17 teams) in the Challenge 3 entry to the Grand Finale (Grand Challenge) of MBZIRC 2020 competition.",7,lidar;perception;robot
robot perception domain corruption sensor degradation,crossref,Tactile Perception Based on Injected Vibration in Soft Sensor,2021,Naoto Komeno; Takamitsu Matsubara,IEEE Robotics and Automation Letters,10.1109/lra.2021.3075664,https://doi.org/10.1109/lra.2021.3075664,,7,perception;sensor;tactile
robot sensor failure robustness perception fusion modality dropout,arxiv,UncertaintyFuseNet: Robust Uncertainty-aware Hierarchical Feature Fusion Model with Ensemble Monte Carlo Dropout for COVID-19 Detection,2021,Moloud Abdar; Soorena Salari; Sina Qahremani; Hak-Keung Lam; Fakhri Karray; Sadiq Hussain; Abbas Khosravi; U. Rajendra Acharya,arXiv,,,"The COVID-19 (Coronavirus disease 2019) pandemic has become a major global threat to human health and well-being. Thus, the development of computer-aided detection (CAD) systems that are capable to accurately distinguish COVID-19 from other diseases using chest computed tomography (CT) and X-ray data is of immediate priority. Such automatic systems are usually based on traditional machine learning or deep learning methods. Differently from most of existing studies, which used either CT scan or X-ray images in COVID-19-case classification, we present a simple but efficient deep learning feature fusion model, called UncertaintyFuseNet, which is able to classify accurately large datasets of both of these types of images. We argue that the uncertainty of the model's predictions should be taken into account in the learning process, even though most of existing studies have overlooked it. We quantify the prediction uncertainty in our feature fusion model using effective Ensemble MC Dropout (EMCD) technique. A comprehensive simulation study has been conducted to compare the results of our new model to the existing approaches, evaluating the performance of competing models in terms of Precision, Recall, F-Measure, Accuracy and ROC curves. The obtained results prove the efficiency of our model which provided the prediction accuracy of 99.08\% and 96.35\% for the considered CT scan and X-ray datasets, respectively. Moreover, our UncertaintyFuseNet model was generally robust to noise and performed well with previously unseen data. The source code of our implementation is freely available at: https://github.com/moloud1987/UncertaintyFuseNet-for-COVID-19-Classification.",7,dropout;fusion;robust
robot perception domain corruption sensor degradation,crossref,Verification of a Novel Position Verification Sensor to Identify and Isolate Robot Workcell Health Degradation,2021,Brian Weiss; Jared Kaplan,,10.1115/1.0002352v,https://doi.org/10.1115/1.0002352v,,7,robot;sensor
3D perception sensor failure robustness robot,arxiv,3D Semantic Scene Perception using Distributed Smart Edge Sensors,2022,Simon Bultmann; Sven Behnke,arXiv,,,"We present a system for 3D semantic scene perception consisting of a network of distributed smart edge sensors. The sensor nodes are based on an embedded CNN inference accelerator and RGB-D and thermal cameras. Efficient vision CNN models for object detection, semantic segmentation, and human pose estimation run on-device in real time. 2D human keypoint estimations, augmented with the RGB-D depth estimate, as well as semantically annotated point clouds are streamed from the sensors to a central backend, where multiple viewpoints are fused into an allocentric 3D semantic scene model. As the image interpretation is computed locally, only semantic information is sent over the network. The raw images remain on the sensor boards, significantly reducing the required bandwidth, and mitigating privacy risks for the observed persons. We evaluate the proposed system in challenging real-world multi-person scenes in our lab. The proposed perception system provides a complete scene view containing semantically annotated 3D geometry and estimates 3D poses of multiple persons in real time.",7,depth;perception;sensor;vision
robot perception domain corruption sensor degradation,arxiv,A Memory System of a Robot Cognitive Architecture and its Implementation in ArmarX,2022,Fabian Peller-Konrad; Rainer Kartmann; Christian R. G. Dreher; Andre Meixner; Fabian Reister; Markus Grotz; Tamim Asfour,arXiv,,,"Cognitive agents such as humans and robots perceive their environment through an abundance of sensors producing streams of data that need to be processed to generate intelligent behavior. A key question of cognition-enabled and AI-driven robotics is how to organize and manage knowledge efficiently in a cognitive robot control architecture. We argue, that memory is a central active component of such architectures that mediates between semantic and sensorimotor representations, orchestrates the flow of data streams and events between different processes and provides the components of a cognitive architecture with data-driven services for the abstraction of semantics from sensorimotor data, the parametrization of symbolic plans for execution and prediction of action effects. Based on related work, and the experience gained in developing our ARMAR humanoid robot systems, we identified conceptual and technical requirements of a memory system as central component of cognitive robot control architecture that facilitate the realization of high-level cognitive abilities such as explaining, reasoning, prospection, simulation and augmentation. Conceptually, a memory should be active, support multi-modal data representations, associate knowledge, be introspective, and have an inherently episodic structure. Technically, the memory should support a distributed design, be access-efficient and capable of long-term data storage. We introduce the memory system for our cognitive robot control architecture and its implementation in the robot software framework ArmarX. We evaluate the efficiency of the memory system with respect to transfer speeds, compression, reproduction and prediction capabilities.",7,robot;sensor
sensor fusion robustness embodied intelligence missing modality,crossref,Adversarial Robustness of Deep Sensor Fusion Models,2022,Shaojie Wang; Tong Wu; Ayan Chakrabarti; Yevgeniy Vorobeychik,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),10.1109/wacv51458.2022.00144,https://doi.org/10.1109/wacv51458.2022.00144,,7,fusion;robust;sensor
multimodal robot perception missing sensors failure modes,crossref,Collaborative architecture for human-robot assembly tasks using multimodal sensors,2022,James Male; Uriel Martinez-Hernandez,2021 20th International Conference on Advanced Robotics (ICAR),10.1109/icar53236.2021.9659382,https://doi.org/10.1109/icar53236.2021.9659382,,7,robot;sensor
multimodal robot perception missing sensors failure modes,crossref,Development of an Integrated Haptic Sensor System for Multimodal Human–Computer Interaction Using Ultrasonic Array and Cable Robot,2022,Liqiang Fan; Aiguo Song; Haochen Zhang,IEEE Sensors Journal,10.1109/jsen.2022.3144888,https://doi.org/10.1109/jsen.2022.3144888,,7,robot;sensor
sensor corruption robotic perception robustness calibration drift,crossref,Dynamic Calibration Method of Sensor Drift Fault in HVAC System Based on Bayesian Inference,2022,Guannan Li; Haonan Hu; Jiajia Gao; Xi Fang,Sensors,10.3390/s22145348,https://doi.org/10.3390/s22145348,,7,calibration;drift;sensor
sensor corruption robotic perception robustness calibration drift,arxiv,Dynamic Calibration of Nonlinear Sensors with Time-Drifts and Delays by Bayesian Inference,2022,Soumyabrata Talukder; Souvik Kundu; Ratnesh Kumar,arXiv,,,"Most sensor calibrations rely on the linearity and steadiness of their response characteristics, but practical sensors are nonlinear, and their response drifts with time, restricting their choices for adoption. To broaden the realm of sensors to allow nonlinearity and time-drift in the underlying dynamics, a Bayesian inference-based nonlinear, non-causal dynamic calibration method is introduced, where the sensed value is estimated as a posterior conditional mean given a finite-length sequence of the sensor measurements and the elapsed time. Additionally, an algorithm is proposed to adjust an already learned calibration map online whenever new data arrives. The effectiveness of the proposed method is validated on continuous-glucose-monitoring (CGM) data from an alive rat equipped with an in-house optical glucose sensor. To allow flexibility in choice, the validation is also performed on a synthetic blood glucose level (BGL) dataset generated using FDA-approved virtual diabetic patient models together with an illustrative CGM sensor model.",7,calibration;drift;sensor
robot sensor failure robustness perception fusion modality dropout,arxiv,EcoFusion: Energy-Aware Adaptive Sensor Fusion for Efficient Autonomous Vehicle Perception,2022,Arnav Vaibhav Malawade; Trier Mortlock; Mohammad Abdullah Al Faruque,arXiv,,,"Autonomous vehicles use multiple sensors, large deep-learning models, and powerful hardware platforms to perceive the environment and navigate safely. In many contexts, some sensing modalities negatively impact perception while increasing energy consumption. We propose EcoFusion: an energy-aware sensor fusion approach that uses context to adapt the fusion method and reduce energy consumption without affecting perception performance. EcoFusion performs up to 9.5% better at object detection than existing fusion methods with approximately 60% less energy and 58% lower latency on the industry-standard Nvidia Drive PX2 hardware platform. We also propose several context-identification strategies, implement a joint optimization between energy and performance, and present scenario-specific results.",7,fusion;perception;sensor
